shipping_group,shipping_group_code,product_code,product_name,product_group,volume_m3,weight_ton,quantity_by_volume,quantity_by_weight,final_qty,loaded_weight_ton,limiting_factor
 AV Vid & Aud,241011,097081110316,LH-970XBH,Audio System,0.128205,0.0,144.3001443001443,inf,144.3001443001443,0.0,volume
 AV Vid & Aud,241011,097081110319,NP8340,Audio System,0.00726,0.0,2548.2093663911846,inf,2548.2093663911846,0.0,volume
 AV Vid & Aud,241011,097181110129,GDV-HJ257N,Audio System,0.008,0.0,2312.5,inf,2312.5,0.0,volume
 AV Vid & Aud,241011,097181110130,GDV-HJ357N,Audio System,0.008,0.0,2312.5,inf,2312.5,0.0,volume
 AV Vid & Aud,241011,600030200000,Red Tone R100 با میکروفون,Audio System,0.06343,0.008,291.6600977455463,250.0,250.0,2.0,weight
 AV Vid & Aud,241011,600040200000,Red Tone R200 با میکروفون,Audio System,0.11529,0.06,160.46491456327522,33.333333333333336,33.333333333333336,2.0,weight
 AV Vid & Aud,241011,600060200000,Red Tone R300 با میکروفون,Audio System,0.16703,0.06,110.75854636891576,33.333333333333336,33.333333333333336,2.0,weight
 AV Vid & Aud,241011,666235011209,سیستم صوتىCM4530,Audio System,0.42,0.0,44.04761904761905,inf,44.04761904761905,0.0,volume
 AV Vid & Aud,241011,666235011210,سیستم صوتىCM8440,Audio System,0.42,0.0,44.04761904761905,inf,44.04761904761905,0.0,volume
 AV Vid & Aud,241011,666235011211,سیستم صوتی LH-W995XBH,Audio System,0.54,0.0,34.25925925925926,inf,34.25925925925926,0.0,volume
 AV Vid & Aud,241011,666235011212,سیستم صوتی LH-K938HTS,Audio System,0.54,0.0,34.25925925925926,inf,34.25925925925926,0.0,volume
 AV Vid & Aud,241011,666235011213,سیستم صوتىARX10,Audio System,0.972,0.0,19.032921810699587,inf,19.032921810699587,0.0,volume
 AV Vid & Aud,241011,666235011214,سیستم صوتىARX8500,Audio System,0.816,0.0,22.67156862745098,inf,22.67156862745098,0.0,volume
 AV Vid & Aud,241011,666235011215,سیستم صوتىLHD-675,Audio System,0.396,0.0,46.717171717171716,inf,46.717171717171716,0.0,volume
 AV Vid & Aud,241011,666235011216,سیستم صوتی LH-W895XBH,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011217,سیستم صوتی LH-K948HTS,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011218,سیستم صوتی LH-K958XBH,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011219,سیستم صوتىLH-768HTS,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011220,سیستم صوتىLH-T1090HTS,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011221,سیستم صوتىNB4540 ناقص,Audio System,0.18,0.0,102.77777777777779,inf,102.77777777777779,0.0,volume
 AV Vid & Aud,241011,666235011222,سیستم صوتى CM4640,Audio System,0.18,0.0,102.77777777777779,inf,102.77777777777779,0.0,volume
 AV Vid & Aud,241011,666235011223,سیستم صوتىSPK8601,Audio System,0.18,0.0,102.77777777777779,inf,102.77777777777779,0.0,volume
 AV Vid & Aud,241011,666235011224,سیستم صوتی LH-KW968HTS,Audio System,0.36,0.0,51.38888888888889,inf,51.38888888888889,0.0,volume
 AV Vid & Aud,241011,666235011469,سیستم صوتىND2531,Audio System,0.0045,0.0,4111.111111111111,inf,4111.111111111111,0.0,volume
 AV Vid & Aud,241011,666235011470,سیستم صوتىNP7550,Audio System,0.016875,0.0,1096.2962962962963,inf,1096.2962962962963,0.0,volume
 AV Vid & Aud,241011,666235011471,اسپیکرPH1R,Audio System,0.0015,0.0,12333.333333333334,inf,12333.333333333334,0.0,volume
 AV Vid & Aud,241011,666235011472,اسپیکرPH1,Audio System,0.0015,0.0,12333.333333333334,inf,12333.333333333334,0.0,volume
 AV Vid & Aud,241011,666235011473,اسپیکرPH1L,Audio System,0.0015,0.0,12333.333333333334,inf,12333.333333333334,0.0,volume
 AV Vid & Aud,241011,666235011474,اسپیکرPH4,Audio System,0.005625,0.0,3288.888888888889,inf,3288.888888888889,0.0,volume
 AV Vid & Aud,241011,666235011666,سیستم صوتی ناقص NB4540,Audio System,0.245,0.0,75.51020408163265,inf,75.51020408163265,0.0,volume
 AV Vid & Aud,241011,666235012154,Speaker TS23125-TSCO,اقلام تبلیغاتی,0.002548,0.0009,7260.596546310832,2222.222222222222,2222.222222222222,2.0,weight
 AV Vid & Aud,241011,G95510005111,S95QR G,Audio System,0.20201,0.0135,91.57962477105094,148.14814814814815,91.57962477105094,1.2363249344091878,volume
 AV Vid & Aud,241011,G95510005112,SNC4R G,Audio System,0.1008,0.01,183.53174603174602,200.0,183.53174603174602,1.8353174603174602,volume
 AV Vid & Aud,241011,G95510005113,ON9 G,Audio System,0.2254,0.012,82.07630878438333,166.66666666666666,82.07630878438333,0.9849157054126,volume
 AV Vid & Aud,241011,G95510005114,ON7 G,Audio System,0.1584,0.01,116.79292929292929,200.0,116.79292929292929,1.1679292929292928,volume
 AV Vid & Aud,241011,G95510005115,SN7Y G,Audio System,0.112,0.01,165.17857142857142,200.0,165.17857142857142,1.6517857142857142,volume
 AV Vid & Aud,241011,G95510005117,S80QR G,Audio System,0.1911,0.0135,96.8079539508111,148.14814814814815,96.8079539508111,1.3069073783359497,volume
 AV Vid & Aud,241011,G95510005119,XO3QBK G,Audio System,0.01936,0.005,955.5785123966942,400.0,400.0,2.0,weight
 AV Vid & Aud,241011,G95510005122,SH7Q G,Audio System,0.16625,0.01,111.27819548872179,200.0,111.27819548872179,1.112781954887218,volume
 AV Vid & Aud,241011,G95911111111,GPA-MB560N G,Audio System,0.06144,0.0085,301.1067708333333,235.2941176470588,235.2941176470588,2.0,weight
 AV Vid & Aud,241011,G95911111113,GPA-MB850N G,Audio System,0.08778,0.0135,210.75415812257918,148.14814814814815,148.14814814814815,2.0,weight
 AV Vid & Aud,241011,G95911112111,GSO-M625SN G,Audio System,0.112,0.096,165.17857142857142,20.833333333333332,20.833333333333332,2.0,weight
 AV Vid & Aud,241011,G95911112112,GSO-M6315HN G,Audio System,0.183855,0.01,100.62277338119715,200.0,100.62277338119715,1.0062277338119716,volume
 AV Vid & Aud,241011,M93430011111,GPA-KN35N M,Audio System,0.06364,0.015,290.69767441860466,133.33333333333334,133.33333333333334,2.0,weight
 AV Vid & Aud,241011,M93430011112,GPA-KB56N M,Audio System,0.072488,0.015,255.21465621896039,133.33333333333334,133.33333333333334,2.0,weight
 AV Vid & Aud,241011,M93430011113,GPA-KB37N M,Audio System,0.177232,0.015,104.38295567391893,133.33333333333334,104.38295567391893,1.5657443351087839,volume
 AV Vid & Aud,241011,M93430021112,GSO-K624EN M,Audio System,0.0988,0.02,187.24696356275305,100.0,100.0,2.0,weight
 AV Vid & Aud,241011,M93430021113,GSO-K6315SN M,Audio System,0.1734,0.02,106.68973471741639,100.0,100.0,2.0,weight
 AV Vid & Aud,241011,M95510005112,SNC4R M,Audio System,0.09,0.01,205.55555555555557,200.0,200.0,2.0,weight
 AV Vid & Aud,241011,M95510005113,ON9 M,Audio System,0.1848,0.012,100.10822510822511,166.66666666666666,100.10822510822511,1.2012987012987013,volume
 AV Vid & Aud,241011,M95510005114,ON7 M,Audio System,0.1584,0.01,116.79292929292929,200.0,116.79292929292929,1.1679292929292928,volume
 AV Vid & Aud,241011,M95510005115,SN7Y M,Audio System,0.093,0.01,198.9247311827957,200.0,198.9247311827957,1.9892473118279572,volume
 AV Vid & Aud,241011,M95510005117,S80QR M,Audio System,0.17226,0.0135,107.39579705096946,148.14814814814815,107.39579705096946,1.4498432601880877,volume
 AV Vid & Aud,241011,M95510005119,XO3QBK M,Audio System,0.02169,0.005,852.9276164130936,400.0,400.0,2.0,weight
 AV Vid & Aud,241011,M95510005122,SH7Q M,Audio System,0.1548,0.01,119.50904392764859,200.0,119.50904392764859,1.1950904392764858,volume
 AV Vid & Aud,241011,M95510005124,XG9QBK M,Audio System,0.0588,0.005,314.6258503401361,400.0,314.6258503401361,1.5731292517006805,volume
 AV Vid & Aud,241011,M95510005128,Soundbar LG (Model :SQC1) M,Audio System,0.066938,0.007,276.375153126774,285.7142857142857,276.375153126774,1.9346260718874182,volume
 AV Vid & Aud,241011,M95911111111,GPA-MB560N M,Audio System,0.076,0.0085,243.42105263157896,235.2941176470588,235.2941176470588,2.0,weight
 AV Vid & Aud,241011,M95911111112,GPA-MN8071N M,Audio System,0.22218,0.015,83.26582050589613,133.33333333333334,83.26582050589613,1.248987307588442,volume
 AV Vid & Aud,241011,M95911111113,GPA-MB850N M,Audio System,0.08778,0.0135,210.75415812257918,148.14814814814815,148.14814814814815,2.0,weight
 AV Vid & Aud,241011,M95911112111,GSO-M625SN M,Audio System,0.0825,0.101,224.24242424242422,19.801980198019802,19.801980198019802,2.0,weight
